"Name","Created","Runtime","End Time","Hostname","ID","Notes","Updated","Tags","model_name","checkpoint_dir","test_accuracy","test_f1","test_precision","test_recall","val_accuracy","val_f1","val_precision","val_recall"
"ru_model_train_hi_seed46","2024-10-09T08:21:33.000Z","213","2024-10-09T08:25:06.000Z","gr007.hpc.nyu.edu","msgkxw6j","-","2024-10-09T08:25:06.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed46","0.15337423312883436","0.04079101944915807","0.02352365538785803","0.15337423312883436","0.2550335570469799","0.11543257417390984","0.1389030317056237","0.2550335570469799"
"ru_model_train_hi_seed46","2024-10-09T08:03:55.000Z","210","2024-10-09T08:07:25.000Z","gr007.hpc.nyu.edu","mndtjqys","-","2024-10-09T08:07:25.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed46","0.1901840490797546","0.098646503554479","0.2866060975038636","0.1901840490797546","0.2483221476510067","0.17415052391280766","0.2771342109162442","0.2483221476510067"
"ru_model_train_ar_seed46","2024-10-09T06:46:01.000Z","250","2024-10-09T06:50:11.000Z","gr007.hpc.nyu.edu","mfyjy74m","-","2024-10-09T06:50:11.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed46","0.39805825242718446","0.34139673273120824","0.3453383120796559","0.39805825242718446","0.4387755102040816","0.35901584662996466","0.3657204994984054","0.4387755102040816"
"ru_model_train_fr_seed44","2024-10-09T09:10:56.000Z","229","2024-10-09T09:14:45.000Z","gr007.hpc.nyu.edu","wc9v0wrx","-","2024-10-09T09:14:45.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed44","0.12972972972972974","0.08930145464072049","0.15178179059008726","0.12972972972972974","0.17575757575757575","0.11985455389844105","0.12726791726791725","0.17575757575757575"
"ru_model_train_en_seed45","2024-10-09T06:18:31.000Z","324","2024-10-09T06:23:55.000Z","gr007.hpc.nyu.edu","wlg3y4su","-","2024-10-09T06:23:55.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed45","0.31756756756756754","0.17259635182650418","0.21376639797692423","0.31756756756756754","0.303886925795053","0.15152717943753327","0.10092594980784608","0.303886925795053"
"ru_model_train_en_seed44","2024-10-09T05:19:03.000Z","322","2024-10-09T05:24:25.000Z","gr007.hpc.nyu.edu","2xuo85ps","-","2024-10-09T05:24:25.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed44","0.47297297297297297","0.3958902428278302","0.4283340056474385","0.47297297297297297","0.5335689045936396","0.4472971114855332","0.4775183266910843","0.5335689045936396"
"ru_model_train_ru_seed42","2024-10-09T09:22:25.000Z","237","2024-10-09T09:26:22.000Z","gr007.hpc.nyu.edu","35ibi65z","-","2024-10-09T09:26:22.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed42","0.4831460674157303","0.4088527900589686","0.36031240415981264","0.4831460674157303","0.4829545454545454","0.4105372374098323","0.3626299203892083","0.4829545454545454"
"ru_model_train_en_seed46","2024-10-09T05:56:52.000Z","325","2024-10-09T06:02:17.000Z","gr007.hpc.nyu.edu","35pgm0ur","-","2024-10-09T06:02:17.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed46","0.30743243243243246","0.17600498601977405","0.1860282462914042","0.30743243243243246","0.33568904593639576","0.20529081151872672","0.28078708515208206","0.33568904593639576"
"ru_model_train_ru_seed45","2024-10-09T09:34:18.000Z","235","2024-10-09T09:38:13.000Z","gr007.hpc.nyu.edu","37d0le2e","-","2024-10-09T09:38:13.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed45","0.4887640449438202","0.41948243058500895","0.5629707621142866","0.4887640449438202","0.4602272727272727","0.39305708965217023","0.4391758241758242","0.4602272727272727"
"ru_model_train_ar_seed42","2024-10-09T06:50:12.000Z","248","2024-10-09T06:54:20.000Z","gr007.hpc.nyu.edu","wlxmc48s","-","2024-10-09T06:54:20.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed42","0.3737864077669903","0.29892725224391986","0.2640272349010213","0.3737864077669903","0.3979591836734694","0.3225026187202791","0.30365088061059725","0.3979591836734694"
"ru_model_train_hi_seed45","2024-10-09T07:42:44.000Z","216","2024-10-09T07:46:20.000Z","gr007.hpc.nyu.edu","wvqxejht","-","2024-10-09T07:46:20.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed45","0.3803680981595092","0.30713489514201964","0.311296111482172","0.3803680981595092","0.3288590604026846","0.26886434359727507","0.2872499034005853","0.3288590604026846"
"ru_model_train_en_seed43","2024-10-09T05:40:40.000Z","323","2024-10-09T05:46:03.000Z","gr007.hpc.nyu.edu","kqhtmweb","-","2024-10-09T05:46:03.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed43","0.3918918918918919","0.2964462046361086","0.27462334654271775","0.3918918918918919","0.44876325088339225","0.3640111341207002","0.3376000705454042","0.44876325088339225"
"ru_model_train_ar_seed44","2024-10-09T07:19:28.000Z","250","2024-10-09T07:23:38.000Z","gr007.hpc.nyu.edu","3msfk22c","-","2024-10-09T07:23:38.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed44","0.07281553398058252","0.029778369418435723","0.040666516680223135","0.07281553398058252","0.11224489795918367","0.0636209404811267","0.11681159174633306","0.11224489795918367"
"ru_model_train_ru_seed44","2024-10-09T09:50:05.000Z","236","2024-10-09T09:54:01.000Z","gr007.hpc.nyu.edu","kfyban35","-","2024-10-09T09:54:01.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed44","0.38764044943820225","0.2649303047634283","0.22261921761677503","0.38764044943820225","0.3125","0.2058747991276401","0.19676226551226553","0.3125"
"ru_model_train_hi_seed45","2024-10-09T08:00:20.000Z","214","2024-10-09T08:03:54.000Z","gr007.hpc.nyu.edu","x4svkq7z","-","2024-10-09T08:03:54.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed45","0.2147239263803681","0.1087105052232595","0.19307040607654105","0.2147239263803681","0.24161073825503357","0.13093508470362694","0.4419324286810692","0.24161073825503357"
"ru_model_train_ru_seed45","2024-10-09T09:54:02.000Z","236","2024-10-09T09:57:58.000Z","gr007.hpc.nyu.edu","3sxo8j1n","-","2024-10-09T09:57:58.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed45","0.2247191011235955","0.1588583467094703","0.24564811085288432","0.2247191011235955","0.20454545454545456","0.1366309393089578","0.1992057815921452","0.20454545454545456"
"ru_model_train_fr_seed44","2024-10-09T08:51:45.000Z","228","2024-10-09T08:55:33.000Z","gr007.hpc.nyu.edu","xd19w8kh","-","2024-10-09T08:55:33.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed44","0.2108108108108108","0.12435600435600436","0.09462735462735464","0.2108108108108108","0.24848484848484848","0.16162706230817686","0.30852517695593484","0.24848484848484848"
"ru_model_train_en_seed42","2024-10-09T05:08:13.000Z","327","2024-10-09T05:13:40.000Z","gr007.hpc.nyu.edu","j4glh7nd","-","2024-10-09T05:13:40.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed42","0.5405405405405406","0.5115594207145547","0.4948293867102516","0.5405405405405406","0.5265017667844523","0.498947410891836","0.4812432785374097","0.5265017667844523"
